City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
933995,Souillac,MU,-20.52,57.52,77.0,78,20,4.47
2126682,Bilibino,RU,68.05,166.44,24.87,86,0,5.68
1015776,Bredasdorp,ZA,-34.53,20.04,68.0,42,59,6.93
4513583,Hamilton,US,39.18,-84.53,64.58,100,90,4.7
3372472,Vila Franca do Campo,PT,37.72,-25.43,62.6,88,75,8.05
3985168,San Patricio,MX,19.22,-104.7,68.0,82,5,5.82
2255304,Sémbé,CG,1.65,14.58,88.41,55,80,0.2
1512019,Aksarka,RU,66.56,67.8,36.5,96,100,7.23
1819729,Hong Kong,HK,22.29,114.16,79.43,74,71,5.01
6182212,Williams Lake,CA,52.14,-122.14,44.6,81,75,9.17
1263997,Mahabalipuram,IN,12.63,80.17,89.31,70,40,9.17
2194098,Ahipara,NZ,-35.17,173.17,54.55,85,2,5.55
560646,Golovino,RU,55.96,40.43,52.54,70,64,5.97
3443061,Chui,UY,-33.7,-53.46,67.71,54,0,13.67
174776,Shatin,AM,39.84,45.3,69.4,45,13,8.19
2381334,Atar,MR,20.52,-13.05,92.61,14,0,11.01
1786060,Yuanping,CN,38.72,112.76,56.82,32,0,1.92
110690,Abhā,SA,18.22,42.51,76.05,31,40,8.05
4738723,Uvalde,US,29.37,-99.77,67.8,93,18,8.05
912628,Kasempa,ZM,-13.46,25.83,75.56,44,0,4.92
474470,Verkhnyaya Toyma,RU,62.23,45.0,52.32,43,7,2.46
2108857,Gizo Government Station,SB,-8.1,156.84,82.72,77,64,8.37
3405215,Bonfim,BR,3.08,-59.95,88.11,57,29,4.21
1242110,Kalmunai,LK,7.42,81.82,83.41,81,100,6.6
2334008,Kontagora,NG,10.4,5.47,99.72,34,45,2.3
3981391,Tomatlán,MX,19.93,-105.25,83.59,23,0,1.52
746628,Gölköy,TR,40.69,37.62,66.99,63,20,6.24
2324767,Potiskum,NG,11.71,11.07,103.66,16,45,2.44
5096699,Clifton,US,40.86,-74.16,68.25,55,20,9.17
1255744,Sonīpat,IN,28.98,77.02,94.57,20,0,5.82
5847411,Kahului,US,20.89,-156.47,68.59,77,1,6.93
1502526,Kormilovka,RU,55.0,74.1,73.4,28,60,13.42
4686163,Dickinson,US,29.46,-95.05,67.05,93,90,4.7
144448,Ahvāz,IR,31.32,48.67,105.8,12,0,4.7
1879613,Anju,KP,39.62,125.66,58.05,90,100,1.39
2735083,Rio Tinto,PT,41.18,-8.56,71.76,68,20,13.87
1078553,Ampanihy,MG,-24.7,44.75,67.03,59,4,9.01
2015306,Tiksi,RU,71.69,128.87,28.45,98,92,9.8
2643044,Margate,GB,51.38,1.39,59.32,51,100,1.01
3373652,Oistins,BB,13.07,-59.53,86.0,66,75,21.92
3129839,Aras,ES,42.56,-2.36,62.6,59,90,14.99
2101169,Aitape,PG,-3.14,142.35,80.08,81,100,7.78
2126123,Chokurdakh,RU,70.63,147.92,20.43,98,0,8.59
5563839,Fortuna,US,40.6,-124.16,56.05,81,90,9.17
2693759,Ludvika,SE,60.15,15.19,48.06,36,100,14.99
1514792,Gazojak,TM,41.19,61.4,80.46,21,9,4.03
287286,Muscat,OM,23.61,58.59,89.6,66,0,10.29
546105,Nikolskoye,RU,59.7,30.79,44.28,81,90,15.66
49747,Oddur,SO,4.12,43.89,82.99,61,12,13.44
3386213,Touros,BR,-5.2,-35.46,73.4,100,90,2.24
64814,Bandarbeyla,SO,9.49,50.81,84.97,75,0,25.66
2112802,Hasaki,JP,35.73,140.83,62.55,100,75,16.58
5282297,Bethel,US,41.37,-73.41,64.83,51,1,16.11
167357,Manbij,SY,36.53,37.95,95.0,19,47,6.93
2094342,Kavieng,PG,-2.57,150.8,83.17,82,39,13.22
4172445,Seminole,US,28.71,-81.21,80.26,69,90,16.11
5882953,Aklavik,CA,68.22,-135.01,26.6,86,90,10.29
2514651,Los Llanos de Aridane,ES,28.66,-17.92,64.47,60,75,11.41
2123628,Magadan,RU,59.57,150.8,36.55,82,88,10.04
1786855,Yatou,CN,37.15,122.38,61.18,91,61,14.76
1256705,Shāhpura,IN,27.38,75.97,96.8,20,20,3.36
3361934,Saldanha,ZA,-33.01,17.94,69.8,43,1,11.41
3347019,Mossamedes,AO,-15.2,12.15,84.2,62,0,13.87
3336897,La Rioja,ES,42.25,-2.5,62.6,59,90,14.99
3883457,Lebu,CL,-37.62,-73.65,59.23,84,84,2.33
2208248,Kaitangata,NZ,-46.28,169.85,48.0,77,0,4.68
1026014,Tete,MZ,-16.16,33.59,87.8,29,40,10.29
1139085,Jurm,AF,36.86,70.83,55.15,49,44,2.06
502185,Remontnoye,RU,46.56,43.65,57.2,100,40,6.71
1519938,Karatau,KZ,43.17,70.47,58.8,82,100,3.09
2161376,Kingaroy,AU,-26.53,151.83,56.64,87,5,6.93
4286717,Campbellsville,US,37.34,-85.34,72.28,64,40,7.74
5864145,Homer,US,59.64,-151.55,40.26,93,1,0.27
1495626,Pangody,RU,65.85,74.49,45.3,79,98,7.38
3347719,Luena,AO,-11.78,19.92,80.6,65,40,9.17
1502073,Krasnosel'kup,RU,65.7,82.47,46.94,96,100,2.8
